date,GRO,INF
1985-01-31,0.24,0.043992574
1985-02-28,-0.01,0.042909111
1985-03-31,0.12,0.042242472
1985-04-30,0.04,0.043577622
1985-05-31,0.22,0.043661286
1985-06-30,-0.18,0.043246551
1985-07-31,-0.17,0.042495797
1985-08-31,-0.09,0.041746306
1985-09-30,0.22,0.040246541
1985-10-31,0.22,0.040161465
1985-11-30,0.14,0.038412778
1985-12-31,0.18,0.038497474
1986-01-31,0.57,0.03874558
1986-02-28,0.14,0.034403976
1986-03-31,-0.09,0.029969104
1986-04-30,-0.16,0.027930571
1986-05-31,0.05,0.030523885
1986-06-30,0.05,0.036242659
1986-07-31,0.02,0.03507426
1986-08-31,0.11,0.035492369
1986-09-30,0.43,0.037496506
1986-10-31,0.2,0.038912616
1986-11-30,0.23,0.038663829
1986-12-31,0.36,0.039496513
1987-01-31,0.11,0.039329217
1987-02-28,0.69,0.040998799
1987-03-31,0.42,0.041247987
1987-04-30,0.89,0.041915429
1987-05-31,0.5,0.045749671
1987-06-30,0.52,0.046499403
1987-07-31,0.68,0.047666243
1987-08-31,0.62,0.047082421
1987-09-30,0.71,0.046247759
1987-10-31,0.81,0.044916231
1987-11-30,0.8,0.043415672
1987-12-31,0.84,0.043995211
1988-01-31,0.36,0.044160766
1988-02-29,0.46,0.044243912
1988-03-31,0.39,0.04524345
1988-04-30,0.63,0.046828166
1988-05-31,0.35,0.04749797
1988-06-30,0.42,0.049747526
1988-07-31,0.27,0.050414485
1988-08-31,0.27,0.050999286
1988-09-30,0.09,0.050499881
1988-10-31,0.31,0.048999762
1988-11-30,0.43,0.049083058
1988-12-31,0.64,0.048999762
1989-01-31,0.56,0.049333069
1989-02-28,0.28,0.049833267
1989-03-31,-0.05,0.051249673
1989-04-30,-0.16,0.051332277
1989-05-31,-0.31,0.050330302
1989-06-30,-0.34,0.048249672
1989-07-31,-0.76,0.047166521
1989-08-31,-0.26,0.044999521
1989-09-30,-0.41,0.044
1989-10-31,-0.2,0.04316644
1989-11-30,-0.32,0.042083217
1989-12-31,-0.1,0.042
1990-01-31,-0.05,0.041915034
1990-02-28,0.14,0.0424887
1990-03-31,0.22,0.041248949
1990-04-30,0.03,0.041914628
1990-05-31,-0.3,0.042498437
1990-06-30,-0.41,0.040999279
1990-07-31,-0.38,0.041166119
1990-08-31,-0.52,0.049062203
1990-09-30,-0.83,0.050187913
1990-10-31,-1.06,0.048702108
1990-11-30,-1.55,0.045710612
1990-12-31,-1.67,0.039492681
1991-01-31,-1.69,0.037746302
1991-02-28,-1.54,0.037247739
1991-03-31,-1.56,0.036997344
1991-04-30,-1.09,0.03683069
1991-05-31,-0.67,0.037247253
1991-06-30,-0.14,0.037749669
1991-07-31,-0.11,0.037249669
1991-08-31,-0.17,0.036666157
1991-09-30,-0.07,0.035749426
1991-10-31,-0.25,0.036249668
1991-11-30,-0.3,0.0348323
1991-12-31,-0.81,0.033499395
1992-01-31,-0.7,0.033332823
1992-02-29,-0.49,0.032998306
1992-03-31,0.07,0.033498428
1992-04-30,0.29,0.034165391
1992-05-31,0.26,0.034249426
1992-06-30,0.05,0.034499396
1992-07-31,0.09,0.033582813
1992-08-31,-0.12,0.032416145
1992-09-30,-0.12,0.032249667
1992-10-31,-0.16,0.031499636
1992-11-30,0.14,0.031583054
1992-12-31,0.33,0.031249425
1993-01-31,0.36,0.030832619
1993-02-28,0.39,0.031249424
1993-03-31,0.01,0.03174894
1993-04-30,-0.01,0.031915742
1993-05-31,-0.13,0.032748941
1993-06-30,0.08,0.032499395
1993-07-31,-0.02,0.032915661
1993-08-31,-0.01,0.031415171
1993-09-30,0.17,0.030249909
1993-10-31,0.33,0.030333226
1993-11-30,0.5,0.030166599
1993-12-31,0.56,0.029249909
1994-01-31,0.43,0.029666478
1994-02-28,0.35,0.030082406
1994-03-31,0.59,0.030749181
1994-04-30,0.7,0.031082488
1994-05-31,0.88,0.031666155
1994-06-30,0.63,0.031999758
1994-07-31,0.55,0.032249667
1994-08-31,0.64,0.032499637
1994-09-30,0.55,0.033499395
1994-10-31,0.78,0.034249668
1994-11-30,0.71,0.034332581
1994-12-31,0.88,0.034749668
1995-01-31,0.66,0.034249184
1995-02-28,0.31,0.033999516
1995-03-31,-0.02,0.034248942
1995-04-30,-0.31,0.034499637
1995-05-31,-0.31,0.034666559
1995-06-30,-0.19,0.033499879
1995-07-31,-0.24,0.032833266
1995-08-31,0.16,0.031833185
1995-09-30,0.14,0.030249666
1995-10-31,0.27,0.029166437
1995-11-30,-0.07,0.028583134
1995-12-31,-0.13,0.028
1996-01-31,-0.44,0.027499878
1996-02-29,-0.03,0.027749909
1996-03-31,-0.13,0.028
1996-04-30,0.47,0.028166356
1996-05-31,0.3,0.028331931
1996-06-30,0.59,0.028249423
1996-07-31,0.41,0.029416387
1996-08-31,0.34,0.029832942
1996-09-30,0.26,0.029749909
1996-10-31,0.27,0.03
1996-11-30,0.36,0.029833023
1996-12-31,0.26,0.029749909
1997-01-31,0.35,0.029749909
1997-02-28,0.49,0.02991663
1997-03-31,0.63,0.029749909
1997-04-30,0.59,0.029333063
1997-05-31,0.37,0.029165788
1997-06-30,0.37,0.028249666
1997-07-31,0.6,0.026582646
1997-08-31,0.61,0.026916223
1997-09-30,0.73,0.026749909
1997-10-31,0.68,0.026416386
1997-11-30,0.85,0.024666558
1997-12-31,0.57,0.022249664
1998-01-31,0.51,0.021915405
1998-02-28,0.32,0.020748438
1998-03-31,0.31,0.020248928
1998-04-30,0.27,0.020998283
1998-05-31,0.27,0.021332407
1998-06-30,0.04,0.021749419
1998-07-31,-0.31,0.022249664
1998-08-31,0.06,0.021749663
1998-09-30,0.26,0.020749663
1998-10-31,0.62,0.020583214
1998-11-30,0.15,0.020749663
1998-12-31,0.27,0.020999265
1999-01-31,0.2,0.020749418
1999-02-28,0.38,0.020749418
1999-03-31,0.23,0.020749908
1999-04-30,0.19,0.021916466
1999-05-31,0.23,0.022496715
1999-06-30,0.22,0.023
1999-07-31,0.31,0.023166436
1999-08-31,0.19,0.022499878
1999-09-30,0.16,0.022999756
1999-10-31,0.45,0.02349939
1999-11-30,0.49,0.023332737
1999-12-31,0.85,0.023749908
2000-01-31,0.6,0.024249908
2000-02-29,0.32,0.024833184
2000-03-31,0.27,0.024998294
2000-04-30,0.37,0.025748204
2000-05-31,0.24,0.026582162
2000-06-30,0.07,0.025999756
2000-07-31,-0.28,0.026499391
2000-08-31,-0.28,0.026749665
2000-09-30,-0.19,0.026999513
2000-10-31,-0.31,0.027415738
2000-11-30,-0.24,0.026582242
2000-12-31,-0.52,0.024607924
2001-01-31,-0.69,0.023476107
2001-02-28,-0.85,0.023647335
2001-03-31,-1.06,0.023375207
2001-04-30,-1.14,0.023402754
2001-05-31,-1.12,0.024510802
2001-06-30,-1.28,0.024290097
2001-07-31,-1.1,0.023835709
2001-08-31,-1.13,0.022755822
2001-09-30,-1.11,0.02223648
2001-10-31,-1.18,0.021048085
2001-11-30,-1.29,0.020806261
2001-12-31,-0.97,0.020715755
2002-01-31,-0.72,0.021582527
2002-02-28,-0.39,0.021570642
2002-03-31,-0.26,0.023292276
2002-04-30,-0.16,0.024214115
2002-05-31,-0.05,0.023940302
2002-06-30,0.14,0.023540975
2002-07-31,-0.06,0.023073116
2002-08-31,-0.13,0.02166066
2002-09-30,-0.39,0.022518537
2002-10-31,-0.4,0.022331714
2002-11-30,-0.34,0.021913478
2002-12-31,-0.54,0.021832079
2003-01-31,-0.2,0.022085262
2003-02-28,-0.41,0.02206177
2003-03-31,-0.25,0.022066907
2003-04-30,-0.72,0.021412632
2003-05-31,-0.56,0.019781515
2003-06-30,-0.4,0.019293869
2003-07-31,-0.03,0.019316257
2003-08-31,-0.11,0.018793007
2003-09-30,0.04,0.018886399
2003-10-31,0.08,0.019416738
2003-11-30,0.45,0.019706757
2003-12-31,0.3,0.019965745
2004-01-31,0.27,0.020360955
2004-02-29,0.2,0.020293706
2004-03-31,0.4,0.020560343
2004-04-30,0.47,0.021762612
2004-05-31,0.58,0.02319938
2004-06-30,0.24,0.023340828
2004-07-31,0.36,0.023951354
2004-08-31,0.19,0.024071377
2004-09-30,0.37,0.023779299
2004-10-31,0.39,0.02383134
2004-11-30,0.27,0.023930765
2004-12-31,0.53,0.023362646
2005-01-31,0.43,0.023450939
2005-02-28,0.62,0.023579641
2005-03-31,0.19,0.02533623
2005-04-30,0.32,0.026419701
