DATE,IPMAN,PAYEMS,FEDFUNDS,CPIAUCSL,PCE
1972-01-01,36.6924,72441,3.50,41.2,731.5
1972-02-01,36.9567,72648,3.29,41.4,736.2
1972-03-01,37.1965,72944,3.83,41.4,749.2
1972-04-01,37.6440,73162,4.17,41.5,752.5
1972-05-01,37.6836,73469,4.27,41.6,758.0
1972-06-01,37.8022,73758,4.46,41.7,761.6
1972-07-01,37.8128,73709,4.55,41.8,769.9
1972-08-01,38.3031,74141,4.80,41.9,776.3
1972-09-01,38.5731,74264,4.87,42.1,781.1
1972-10-01,39.1695,74674,5.04,42.2,794.9
1972-11-01,39.6756,74973,5.06,42.4,800.5
1972-12-01,40.2595,75268,5.33,42.5,806.1
1973-01-01,40.5321,75617,5.94,42.7,816.5
1973-02-01,41.1963,76014,6.58,43.0,825.8
1973-03-01,41.2768,76284,7.09,43.4,832.8
1973-04-01,41.2179,76455,7.12,43.7,835.7
1973-05-01,41.4853,76648,7.84,43.9,841.6
1973-06-01,41.4705,76887,8.49,44.2,844.3
1973-07-01,41.6769,76913,10.40,44.2,854.1
1973-08-01,41.5521,77168,10.50,45.0,853.3
1973-09-01,41.9460,77276,10.78,45.2,869.2
1973-10-01,42.2962,77607,10.01,45.6,868.2
1973-11-01,42.6218,77920,10.03,45.9,876.9
1973-12-01,42.6488,78031,9.95,46.3,876.6
1974-01-01,42.2744,78100,9.65,46.8,884.5
1974-02-01,42.0910,78254,8.97,47.3,889.7
1974-03-01,42.0853,78296,9.35,47.8,901.4
1974-04-01,41.8849,78382,10.51,48.1,910.8
1974-05-01,42.1703,78549,11.31,48.6,922.4
1974-06-01,42.2289,78604,11.93,49.0,928.0
1974-07-01,42.1487,78636,12.92,49.3,937.9
1974-08-01,41.7946,78619,12.01,49.9,954.8
1974-09-01,41.8679,78610,11.34,50.6,955.1
1974-10-01,41.5436,78630,10.06,51.0,959.2
1974-11-01,40.2681,78265,9.45,51.5,956.2
1974-12-01,38.4303,77652,8.53,51.9,961.8
1975-01-01,37.6185,77293,7.13,52.3,975.6
1975-02-01,36.5552,76918,6.24,52.6,989.4
1975-03-01,36.0622,76648,5.54,52.8,990.6
1975-04-01,36.0197,76460,5.49,53.0,995.0
1975-05-01,35.9752,76624,5.22,53.1,1018.9
1975-06-01,36.2888,76521,5.55,53.5,1026.8
1975-07-01,36.7949,76770,6.10,54.0,1039.8
1975-08-01,37.2038,77153,6.14,54.2,1047.0
1975-09-01,37.8323,77228,6.24,54.6,1054.8
1975-10-01,38.0382,77540,5.82,54.9,1060.9
1975-11-01,38.1558,77685,5.22,55.3,1075.8
1975-12-01,38.6430,78017,5.20,55.6,1092.1
1976-01-01,39.1713,78503,4.87,55.8,1107.1
1976-02-01,39.7897,78816,4.77,55.9,1107.7
1976-03-01,39.8599,79048,4.84,56.0,1114.9
1976-04-01,40.1054,79292,4.82,56.1,1125.4
1976-05-01,40.3213,79312,5.29,56.4,1122.7
1976-06-01,40.3277,79376,5.48,56.7,1140.5
1976-07-01,40.6281,79547,5.31,57.0,1149.6
1976-08-01,40.8932,79704,5.29,57.3,1158.0
1976-09-01,40.9732,79892,5.25,57.6,1168.8
1976-10-01,40.9448,79911,5.02,57.9,1176.8
1976-11-01,41.4707,80240,4.95,58.1,1189.0
1976-12-01,41.9129,80448,4.65,58.4,1211.5
1977-01-01,41.8246,80690,4.61,58.7,1215.0
1977-02-01,42.5735,80988,4.68,59.3,1231.3
1977-03-01,43.1864,81391,4.69,59.6,1238.3
1977-04-01,43.6171,81728,4.73,60.0,1247.3
1977-05-01,43.9977,82088,5.35,60.2,1257.1
1977-06-01,44.3683,82488,5.39,60.5,1263.6
1977-07-01,44.3774,82834,5.42,60.8,1280.5
1977-08-01,44.5811,83075,5.90,61.1,1285.7
1977-09-01,44.6218,83532,6.14,61.3,1294.5
1977-10-01,44.7390,83800,6.47,61.6,1311.4
1977-11-01,44.8220,84173,6.51,62.0,1327.0
1977-12-01,45.3241,84410,6.56,62.3,1336.0
1978-01-01,44.6628,84594,6.70,62.7,1329.5
1978-02-01,44.8005,84948,6.78,63.0,1355.1
1978-03-01,45.5864,85460,6.79,63.4,1377.5
1978-04-01,46.3441,86162,6.89,63.9,1396.4
1978-05-01,46.5230,86509,7.36,64.5,1412.0
1978-06-01,46.8963,86950,7.60,65.0,1425.8
1978-07-01,46.8701,87204,7.81,65.5,1426.8
1978-08-01,47.1209,87483,8.04,65.9,1447.0
1978-09-01,47.3703,87621,8.45,66.5,1452.9
1978-10-01,47.7231,87956,8.96,67.1,1466.9
1978-11-01,48.1665,88391,9.76,67.5,1480.6
1978-12-01,48.5285,88671,10.03,67.9,1496.5
